FingerCount,HandType,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,ThumbIndex,IndexMiddle,MiddleRing,RingPinky,PinkyThumb,Gesture
5,100,48.71667,-24.5177,-33.46579,20.4226,-24.63142,-95.02567,1.162323,-25.27197,-106.9503,-20.59225,-25.51463,-97.09387,-37.78624,-21.72157,-71.73586,67,22,23,30,94,0
5,100,48.35406,-25.16148,-33.33631,20.71602,-24.83359,-94.62682,1.545331,-25.8689,-106.2928,-20.24654,-26.06134,-96.48113,-37.53659,-22.14381,-71.30138,67,22,23,30,93,0
5,100,48.09296,-25.48571,-33.37564,21.08832,-25.91552,-93.8056,1.914756,-26.86506,-105.5723,-20.09303,-26.81485,-95.84619,-37.36851,-22.75211,-70.76971,66,22,24,30,93,0
5,100,48.13398,-25.59571,-33.48422,21.18453,-26.20674,-93.72583,1.824745,-26.86922,-105.7299,-20.27233,-26.84319,-95.89934,-37.53976,-22.8048,-70.76367,65,22,24,30,93,0
5,100,48.05356,-25.96458,-33.50561,21.31514,-26.3546,-93.69283,1.815934,-26.80326,-105.8266,-20.38367,-26.8216,-95.92132,-37.60657,-22.93179,-70.65711,65,22,24,30,93,0
5,100,48.07426,-26.12999,-33.50475,21.19952,-26.49656,-93.9732,1.605158,-26.80663,-106.2515,-20.60376,-26.82331,-96.16157,-37.91573,-22.67725,-70.91068,66,23,24,30,93,0
5,100,48.04128,-26.39941,-33.48416,20.89992,-26.54996,-94.33707,1.332934,-26.9194,-106.6769,-20.82787,-26.92563,-96.45683,-38.13921,-22.48058,-71.19362,66,23,24,30,94,0
5,100,48.22387,-26.30653,-33.48292,20.4439,-26.28814,-94.95698,1.009944,-27.13539,-107.1101,-20.96058,-27.21269,-96.73363,-38.20595,-22.45119,-71.41521,67,22,24,31,94,0
5,100,48.56023,-26.00959,-33.4203,20.12047,-26.17435,-95.53082,0.8648882,-27.54877,-107.5274,-20.9391,-27.55899,-97.0518,-38.3871,-22.27048,-71.80716,68,22,24,31,95,0
5,100,48.78843,-25.87469,-33.24557,20.00016,-26.5342,-95.61295,0.9336252,-28.20444,-107.5751,-20.78039,-28.13245,-97.02461,-38.40504,-22.33408,-71.90263,68,22,24,31,95,0
5,100,48.96455,-25.94121,-32.93379,19.9014,-26.87956,-95.22784,1.040785,-28.55975,-107.3745,-20.51019,-28.42247,-96.76945,-38.12522,-22.3201,-71.76447,68,22,24,31,95,0
5,100,50.21309,-26.1605,-32.30544,20.18757,-29.00832,-93.76408,1.866116,-29.78117,-106.1098,-19.9922,-29.28342,-95.81635,-37.97464,-22.78281,-71.10841,68,22,24,31,96,0
5,100,50.99994,-26.50977,-31.56964,20.61092,-30.93378,-92.15019,2.756144,-30.68825,-104.9136,-19.40741,-29.89684,-94.88448,-37.77545,-23.14368,-70.43756,67,21,24,31,96,0
5,100,51.49876,-27.0547,-30.87002,21.02309,-32.61925,-90.45632,3.457273,-31.12728,-104,-19.01689,-30.08697,-94.19259,-37.65474,-23.32602,-69.86634,67,22,24,31,97,0
5,100,51.54459,-27.9894,-30.30137,21.07248,-33.20373,-89.45856,3.887524,-31.1382,-103.2648,-18.66138,-30.1863,-93.51658,-37.31063,-23.57677,-69.27244,66,22,24,31,97,0
5,100,51.5027,-28.42729,-29.97732,21.28027,-33.3866,-88.94747,4.101067,-31.08467,-102.8693,-18.65591,-30.08879,-93.21389,-37.39886,-23.52307,-68.99613,66,22,24,31,97,0
5,100,51.30486,-29.06322,-29.7535,21.35583,-32.94028,-88.91454,4.211422,-30.22144,-103.1503,-18.56872,-29.41409,-93.39776,-37.26809,-23.2103,-68.94634,66,22,24,31,97,0
5,100,51.27657,-29.7877,-29.46001,21.49586,-32.7549,-88.53138,4.396687,-29.93938,-102.7881,-18.66576,-29.22802,-93.07984,-37.25529,-23.16885,-68.58146,66,22,25,31,97,0
5,100,50.43454,-30.65387,-29.54768,21.43324,-32.32205,-88.76566,4.219471,-29.01158,-103.3793,-18.86176,-28.73124,-93.43919,-37.10548,-23.21743,-68.4725,65,22,25,31,96,0
5,100,50.54383,-31.02751,-29.25822,22.24482,-33.61023,-87.32204,4.411304,-29.06505,-102.9072,-19.2301,-28.28044,-93.30275,-37.7038,-22.83415,-68.31752,64,24,25,31,96,0
5,100,50.80482,-30.92651,-29.1848,22.17422,-33.66301,-87.08687,4.324825,-28.9879,-102.6997,-19.29821,-28.07797,-93.16342,-37.72565,-22.68736,-68.21109,64,24,25,31,97,0
